,sim,method,nobs,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true
67,67,best,250,-58.955165605108164,-52.04376502516328,-33.9763334658207,-151.23528817018322,-112.48527400129585,-47.509839309988706
67,67,BMA,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
68,68,true,250,-1282.7670337934037,-783.943202285771,-241.34746690697773,-151.23528817018322,-112.48527400129585,-47.509839309988706
68,68,best,250,-204.78332496081262,-161.6425201747851,-85.38057508598078,-151.23528817018322,-112.48527400129585,-47.509839309988706
68,68,BMA,250,-392.0815057264738,-253.87064673108063,-95.69208045749828,-151.23528817018322,-112.48527400129585,-47.509839309988706
69,69,true,250,-963.3684040522365,-531.9243613227804,-120.6747387422156,-151.23528817018322,-112.48527400129585,-47.509839309988706
69,69,best,250,-1008.0571467535149,-554.7753044444399,-129.8004769553377,-151.23528817018322,-112.48527400129585,-47.509839309988706
69,69,BMA,250,-1489.922576083313,-832.8125648083347,-179.84624911271533,-151.23528817018322,-112.48527400129585,-47.509839309988706
70,70,true,250,-1242.558306080789,-713.3000802965096,-207.85699585251064,-151.23528817018322,-112.48527400129585,-47.509839309988706
70,70,best,250,-1209.9804836700002,-724.4815490169859,-207.81439479549005,-151.23528817018322,-112.48527400129585,-47.509839309988706
70,70,BMA,250,-1173.569687074786,-666.434496283812,-192.12093483150664,-151.23528817018322,-112.48527400129585,-47.509839309988706
71,71,true,250,-9488.389796003028,-4807.748682209701,-1040.024694488738,-151.23528817018322,-112.48527400129585,-47.509839309988706
71,71,best,250,-9437.803377726807,-4732.432715713838,-1007.6854571000059,-151.23528817018322,-112.48527400129585,-47.509839309988706
71,71,BMA,250,-9052.363032690366,-4473.604209055632,-908.2325080891258,-151.23528817018322,-112.48527400129585,-47.509839309988706
72,72,true,250,-477.3023757766025,-290.6428246535839,-91.88396082722454,-151.23528817018322,-112.48527400129585,-47.509839309988706
72,72,best,250,-441.17008625704585,-282.7060398040924,-90.45948605576969,-151.23528817018322,-112.48527400129585,-47.509839309988706
72,72,BMA,250,-477.814003606637,-279.8425205364898,-81.55630123342186,-151.23528817018322,-112.48527400129585,-47.509839309988706
73,73,true,250,-1543.3899697640811,-868.3180085920569,-223.48121971875776,-151.23528817018322,-112.48527400129585,-47.509839309988706
73,73,best,250,-1401.3695079058623,-785.2828722156577,-203.89487908875122,-151.23528817018322,-112.48527400129585,-47.509839309988706
73,73,BMA,250,-4209.17527398635,-1579.5708997888637,-253.23892683711006,-151.23528817018322,-112.48527400129585,-47.509839309988706
